Source URL,Keyword,Avg Monthly Searches,Competition,Low CPC (USD),High CPC (USD),Sentiment Score,Sentiment Confidence,Intent,content_match_score,relevance_bucket,volume_score,cpc_score,competition_score,sentiment_score_scaled,keyword_score,Cluster
https://play.google.com/store/apps/details?id=com.warrior.officebuilding.gp&hl=en_US,google can i play games,10,LOW,0.0,0.0,4,0.4088,conversational,0.0,,0.0002666666666666667,0.0,20.0,10.0,5.0,Cluster 7
https://play.google.com/store/apps/details?id=com.warrior.officebuilding.gp&hl=en_US,google can i,210,LOW,0.0,0.0,4,0.459,conversational,0.0,,0.005599999999999999,0.0,20.0,10.0,5.0,Cluster 8
